SourcePDF,Page,Grader,GeneratedAt,Part,QRText,QRStatus,PrintoutPart,PrintoutPartStatus,PrintoutPartConfidence,ArUcoMarkersDetected,ArUcoMarkerNames,ArUcoMissingMarkers,AlignmentMode,Question,Code,Detected1,Detected2,Detected3,Detected4,Correct1,Correct2,Correct3,Correct4,Result1,Result2,Result3,Result4,CorrectCount,GradableCount,QuestionScore,QuestionMaxScore,DetectedT,DetectedF,Empty,Ambiguous,TotalCorrect,TotalIncorrect,TotalMissing,TotalScore,TotalMaxScore
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,1,B01,T,T,T,T,T,F,T,F,correct,incorrect,correct,incorrect,2,4,0.4,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,2,B02,T,F,T,T,T,F,T,F,correct,correct,correct,incorrect,3,4,0.6,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,3,B03,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,4,B04,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,5,B05,T,F,T,F,T,F,T,F,correct,correct,correct,correct,4,4,1.0,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,6,B06,T,T,F,T,T,F,T,F,correct,incorrect,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,7,B07,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,8,B08,F,T,T,T,T,F,T,F,incorrect,incorrect,correct,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,9,B09,F,F,F,T,T,F,T,F,incorrect,correct,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,10,B10,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,11,B11,T,T,F,T,T,F,T,F,correct,incorrect,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,12,B12,F,T,T,T,T,F,T,F,incorrect,incorrect,correct,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,13,B13,F,F,F,F,T,F,T,F,incorrect,correct,incorrect,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,14,B14,T,T,F,F,T,F,T,F,correct,incorrect,incorrect,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,15,B15,F,T,T,F,T,F,T,F,incorrect,incorrect,correct,correct,2,4,0.4,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,16,B16,T,T,F,T,T,F,T,F,correct,incorrect,incorrect,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,17,B17,F,T,T,T,T,F,T,F,incorrect,incorrect,correct,incorrect,1,4,0.2,1.0,,,,,,,,,
ABC-S2 B-1.pdf,1,grader v1.0.0,2026-07-22 19:47:07 EEST,B,,disabled,,disabled,0.0,4,TL;TR;BR;BL,,homography_4_markers,18,B18,T,T,T,F,T,F,T,F,correct,incorrect,correct,correct,3,4,0.6,1.0,,,,,,,,,
